;Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;code
0;9005;Jet Black;Satin;431368;968;RAL COLOURS;2018_meteon.pdf;9005-431368
1;9001;Cream;Satin;430571;968;RAL COLOURS;2018_meteon.pdf;9001-430571
2;A03.4.0;Silver Grey;Satin;400490;2166;UNI COLOURS;2018_meteon.pdf;A0340-400490
3;A03.0.0;White;Satin;400482;1444;UNI COLOURS;2018_meteon.pdf;A0300-400482
4;A10.4.5;Sienna Brown;Satin;400558;722;UNI COLOURS;2018_meteon.pdf;A1045-400558
5;A11.8.0;Ceramic Greige;Satin;430146;722;UNI COLOURS;2018_meteon.pdf;A1180-430146
6;A12.1.8;Passion Red;Satin;430142;1444;UNI COLOURS;2018_meteon.pdf;A1218-430142
7;A22.1.6;Royal Blue;Satin;430150;722;UNI COLOURS;2018_meteon.pdf;A2216-430150
8;A23.0.4 ;Mineral Blue;Satin;410582;4332;UNI COLOURS;2018_meteon.pdf;A2304-410582
9;A34.8.1 ;Forest Green;Satin;400644;722;UNI COLOURS;2018_meteon.pdf;A3481-400644
10;A35.4.0 ;Cactus Green;Satin;430178;722;UNI COLOURS;2018_meteon.pdf;A3540-430178
11;A37.0.8;Lime Green;Satin;430144;1444;UNI COLOURS;2018_meteon.pdf;A3708-430144
12;A36.3.5;Turf Green;Satin;410584;722;UNI COLOURS;2018_meteon.pdf;A3635-410584
13;A14.7.2;Deep Red Brown;Satin;431104;128;UNI COLOURS;2018_meteon.pdf;A1472-431104
14;A03.1.0;Pastel Grey;Satin;431136;256;UNI COLOURS;2018_meteon.pdf;A0310-431136
15;A08.2.1;Mid Beige;Rock;400533;722;UNI COLOURS;2018_meteon.pdf;A0821-400533
16;NW28;Halmstad;Matt;430896;4840;WOOD DECORS;2018_meteon.pdf;NW28-430896
17;NW13 ;Country Wood;Satin;411144;968;WOOD DECORS;2018_meteon.pdf;NW13-411144
18;NW16;Milano Terra;Satin;430721;342;WOOD DECORS;2018_meteon.pdf;NW16-430721
19;NW13 ;Country Wood;Satin;430717;171;WOOD DECORS;2018_meteon.pdf;NW13-430717
20;NA17;Natural Graphite;Matt;431643;968;NATURALS;2018_meteon.pdf;NA17-431643
21;M53.0.2;Copper Yellow;Satin;431146;128;METALLICS;2018_meteon.pdf;M5302-431146
22;C08.25 ;Brooklyn Anthracite;Diffuse;431531;36;FOCUS;2018_meteon.pdf;C0825-431531
23;C01.21;Chester Grey;Diffuse;431966;36;FOCUS;2018_meteon.pdf;C0121-431966
24;CM03.24;Tribeca Zinc;Diffuse;431973;36;FOCUS;2018_meteon.pdf;CM0324-431973
25;CM03.16;Tribeca Iron;Diffuse;431972;36;FOCUS;2018_meteon.pdf;CM0316-431972
26;CM03.10;Tribeca Bronze;Diffuse;431971;36;FOCUS;2018_meteon.pdf;CM0310-431971
27;CM03.06;Tribeca Gold;Diffuse;431970;36;FOCUS;2018_meteon.pdf;CM0306-431970
28;L2581 ;New York Grey;Diffuse;431430;384;LUMEN;2018_meteon.pdf;L2581-431430
29;L9000;Metropolis Black;Diffuse;431234;512;LUMEN;2018_meteon.pdf;L9000-431234
30;LM5101;Paris Silver;Diffuse;431520;256;LUMEN;2018_meteon.pdf;LM5101-431520
31;L9000;Metropolis Black;Oblique;431210;36;LUMEN;2018_meteon.pdf;L9000-431210
32;L2581 ;New York Grey;Specular;431214;18;LUMEN;2018_meteon.pdf;L2581-431214
33;PU17;Aged Ash;Matt | Flush | Brown core;431165;1560;WOOD DECORS;2018_meteon.pdf;PU17-431165
34;PU24;Mystic Cedar;Matt | Flush | Brown core;431469;4200;WOOD DECORS;2018_meteon.pdf;PU24-431469
35;PU30;Tropical Ipe;Matt | Flush | Brown core;431879;4080;WOOD DECORS;2018_meteon.pdf;PU30-431879
36;PU28;Siberian Larch;Matt | Flush | Brown core;431470;1920;WOOD DECORS;2018_meteon.pdf;PU28-431470
