Colorcode	Colorname	Finish	num	aantal	omschrijving	pdf	ean	CN	beeld
NA18	Natural Slate	Matt-Rock	431977	72	NATURALS	2018_meteon.pdf	NA18-431977	NA18	201911447_1.pdf
NA18	Natural Slate	Matt	431976	84	NATURALS	2018_meteon.pdf	NA18-431976	NA18	201911447_2.pdf
NA19	Italian Slate	Matt	431978	84	NATURALS	2018_meteon.pdf	NA19-431978	NA19	201911447_3.pdf
NM04	Sintered Alloy	Matt	430913	342	NATURALS	2018_meteon.pdf	NM04-430913	NM04	201911447_4.pdf
C01.21	Chester Grey	Diffuse	431917	1444	FOCUS	2018_meteon.pdf	C0121-431917	C0121	201911447_5.pdf
C01.70	Chester Cement	Diffuse	431919	1444	FOCUS	2018_meteon.pdf	C0170-431919	C0170	201911447_6.pdf
C06.24	Bilbao Selva	Diffuse	431920	1444	FOCUS	2018_meteon.pdf	C0624-431920	C0624	201911447_7.pdf
CM06.21	Bilbao Tierra	Diffuse	431925	1444	FOCUS	2018_meteon.pdf	CM0621-431925	CM0621	201911447_8.pdf
CM06.25	Bilbao Sombra	Diffuse	431926	905	FOCUS	2018_meteon.pdf	CM0625-431926	CM0625	201911447_9.pdf
C01.25	Chester Anthracite	Diffuse	431967	72	FOCUS	2018_meteon.pdf	C0125-431967	C0125	201911447_10.pdf
C01.70	Chester Cement	Diffuse	431968	72	FOCUS	2018_meteon.pdf	C0170-431968	C0170	201911447_11.pdf
C06.24	Bilbao Selva	Diffuse	431969	72	FOCUS	2018_meteon.pdf	C0624-431969	C0624	201911447_12.pdf
CM06.21	Bilbao Tierra	Diffuse	431974	72	FOCUS	2018_meteon.pdf	CM0621-431974	CM0621	201911447_13.pdf
CM06.25	Bilbao Sombra	Diffuse	431975	72	FOCUS	2018_meteon.pdf	CM0625-431975	CM0625	201911447_14.pdf
C01.21	Chester Grey	Diffuse	431942	512	FOCUS	2018_meteon.pdf	C0121-431942	C0121	201911447_15.pdf
C01.25	Chester Anthracite	Diffuse	431943	512	FOCUS	2018_meteon.pdf	C0125-431943	C0125	201911447_16.pdf
C01.70	Chester Cement	Diffuse	431944	512	FOCUS	2018_meteon.pdf	C0170-431944	C0170	201911447_17.pdf
C06.24	Bilbao Selva	Diffuse	431945	512	FOCUS	2018_meteon.pdf	C0624-431945	C0624	201911447_18.pdf
CM05.25	Santiago Noche	Diffuse	431564	256	FOCUS	2018_meteon.pdf	CM0525-431564	CM0525	201911447_19.pdf
CM06.21	Bilbao Tierra	Diffuse	431950	512	FOCUS	2018_meteon.pdf	CM0621-431950	CM0621	201911447_20.pdf
CM06.25	Bilbao Sombra	Diffuse	431951	365	FOCUS	2018_meteon.pdf	CM0625-431951	CM0625	201911447_21.pdf
L1245	California Red	Oblique	431908	1444	LUMEN	2018_meteon.pdf	L1245-431908	L1245	201911447_22.pdf
L1245 	California Red	Specular	431902	1444	LUMEN	2018_meteon.pdf	L1245 -431902	L1245 	201911447_23.pdf
L1971	Iceland Grey	Oblique	431909	1444	LUMEN	2018_meteon.pdf	L1971-431909	L1971	201911447_24.pdf
L1971	Iceland Grey	Specular	431904	1444	LUMEN	2018_meteon.pdf	L1971-431904	L1971	201911447_25.pdf
L0500	Athens White	Diffuse	431218	18	LUMEN	2018_meteon.pdf	L0500-431218	L0500	201911447_26.pdf
L1245	California Red	Diffuse	431960	72	LUMEN	2018_meteon.pdf	L1245-431960	L1245	201911447_27.pdf
L1245	California Red	Oblique	431963	72	LUMEN	2018_meteon.pdf	L1245-431963	L1245	201911447_28.pdf
L1245	California Red	Specular	431957	72	LUMEN	2018_meteon.pdf	L1245-431957	L1245	201911447_29.pdf
L1971	Iceland Grey	Diffuse	431961	72	LUMEN	2018_meteon.pdf	L1971-431961	L1971	201911447_30.pdf
L1971	Iceland Grey	Oblique	431964	72	LUMEN	2018_meteon.pdf	L1971-431964	L1971	201911447_31.pdf
L1971	Iceland Grey	Specular	431959	72	LUMEN	2018_meteon.pdf	L1971-431959	L1971	201911447_32.pdf
L1245	California Red	Diffuse	431936	512	LUMEN	2018_meteon.pdf	L1245-431936	L1245	201911447_33.pdf
L1245	California Red	Oblique	431939	512	LUMEN	2018_meteon.pdf	L1245-431939	L1245	201911447_34.pdf
L1245	California Red	Specular	431933	512	LUMEN	2018_meteon.pdf	L1245-431933	L1245	201911447_35.pdf
L1971	Iceland Grey	Diffuse	431937	512	LUMEN	2018_meteon.pdf	L1971-431937	L1971	201911447_36.pdf
L1971	Iceland Grey	Oblique	431940	512	LUMEN	2018_meteon.pdf	L1971-431940	L1971	201911447_37.pdf
L1971	Iceland Grey	Specular	431935	512	LUMEN	2018_meteon.pdf	L1971-431935	L1971	201911447_38.pdf
NW19 	Dark Mahogany	Satin	430247	21	WOOD DECORS	2018_meteon.pdf	NW19 -430247	NW19 	201911447_39.pdf
NW30	Tropical Ipe	Matt	431980	84	WOOD DECORS	2018_meteon.pdf	NW30-431980	NW30	201911447_40.pdf
